UNIPROT_ID	Name	Species
MTMR7_HUMAN	myotubularin related protein 7(MTMR7)	Homo sapiens
M3K9_HUMAN	mitogen-activated protein kinase kinase kinase 9(MAP3K9)	Homo sapiens
YP015_HUMAN	vitellogenin(LOC400499)	Homo sapiens
ATPA_HUMAN	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle(ATP5A1)	Homo sapiens
MMP7_HUMAN	matrix metallopeptidase 7(MMP7)	Homo sapiens
MMP10_HUMAN	matrix metallopeptidase 10(MMP10)	Homo sapiens
ATP4A_HUMAN	ATPase H+/K+ transporting alpha subunit(ATP4A)	Homo sapiens
MMP9_HUMAN	matrix metallopeptidase 9(MMP9)	Homo sapiens
MMP2_HUMAN	matrix metallopeptidase 2(MMP2)	Homo sapiens
L37A2_HUMAN	leucine rich repeat containing 37 member A2(LRRC37A2)	Homo sapiens
AT2A2_HUMAN	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2(ATP2A2)	Homo sapiens
SNUT1_HUMAN	squamous cell carcinoma antigen recognized by T-cells 1(SART1)	Homo sapiens
TM217_HUMAN	transmembrane protein 217(TMEM217)	Homo sapiens
LDH6A_HUMAN	lactate dehydrogenase A like 6A(LDHAL6A)	Homo sapiens
SPTA3_HUMAN	spermatogenesis associated 3(SPATA3)	Homo sapiens
NPTX2_HUMAN	neuronal pentraxin 2(NPTX2)	Homo sapiens
DHX33_HUMAN	DEAH-box helicase 33(DHX33)	Homo sapiens
ANPRA_HUMAN	natriuretic peptide receptor 1(NPR1)	Homo sapiens
UFO_HUMAN	AXL receptor tyrosine kinase(AXL)	Homo sapiens
ANKH1_HUMAN	ANKHD1-EIF4EBP3 readthrough(ANKHD1-EIF4EBP3)	Homo sapiens
SEM3G_HUMAN	semaphorin 3G(SEMA3G)	Homo sapiens
V2R_HUMAN	arginine vasopressin receptor 2(AVPR2)	Homo sapiens
SMAP1_HUMAN	small ArfGAP 1(SMAP1)	Homo sapiens
MCCA_HUMAN	methylcrotonoyl-CoA carboxylase 1(MCCC1)	Homo sapiens
ZA2G_HUMAN	alpha-2-glycoprotein 1, zinc-binding(AZGP1)	Homo sapiens
BAI1_HUMAN	adhesion G protein-coupled receptor B1(ADGRB1)	Homo sapiens
SHC2_HUMAN	SHC adaptor protein 2(SHC2)	Homo sapiens
CILP2_HUMAN	cartilage intermediate layer protein 2(CILP2)	Homo sapiens
NTRK3_HUMAN	neurotrophic receptor tyrosine kinase 3(NTRK3)	Homo sapiens
EMSY_HUMAN	EMSY, BRCA2 interacting transcriptional repressor(EMSY)	Homo sapiens
NTRK2_HUMAN	neurotrophic receptor tyrosine kinase 2(NTRK2)	Homo sapiens
NUCB1_HUMAN	nucleobindin 1(NUCB1)	Homo sapiens
