ID	Gene Name	Species
SETD4_HUMAN	SET domain containing 4(SETD4)	Homo sapiens	
SH24B_HUMAN	SH2 domain containing 4B(SH2D4B)	Homo sapiens	
SH2D7_HUMAN	SH2 domain containing 7(SH2D7)	Homo sapiens	
SPD2B_HUMAN	SH3 and PX domains 2B(SH3PXD2B)	Homo sapiens	
STAC3_HUMAN	SH3 and cysteine rich domain 3(STAC3)	Homo sapiens	
S3TC1_HUMAN	SH3 domain and tetratricopeptide repeats 1(SH3TC1)	Homo sapiens	
SH3L3_HUMAN	SH3 domain binding glutamate rich protein like 3(SH3BGRL3)	Homo sapiens	
3BP5_HUMAN	SH3 domain binding protein 5(SH3BP5)	Homo sapiens	
SIN3B_HUMAN	SIN3 transcription regulator family member B(SIN3B)	Homo sapiens	
SLIK2_HUMAN	SLIT and NTRK like family member 2(SLITRK2)	Homo sapiens	
SLIK3_HUMAN	SLIT and NTRK like family member 3(SLITRK3)	Homo sapiens	
SNRK_HUMAN	SNF related kinase(SNRK)	Homo sapiens	
SHPRH_HUMAN	SNF2 histone linker PHD RING helicase(SHPRH)	Homo sapiens	
SPRL1_HUMAN	SPARC like 1(SPARCL1)	Homo sapiens	
SMOC2_HUMAN	SPARC related modular calcium binding 2(SMOC2)	Homo sapiens	
SPO11_HUMAN	SPO11, initiator of meiotic double stranded breaks(SPO11)	Homo sapiens	
SRR1L_HUMAN	SRR1 domain containing(SRRD)	Homo sapiens	
SOX6_HUMAN	SRY-box 6(SOX6)	Homo sapiens	
SMRC1_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1(SMARCC1)	Homo sapiens	
SMCA1_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1(SMARCA1)	Homo sapiens	
SMCA5_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5(SMARCA5)	Homo sapiens	
SMRD3_HUMAN	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3(SMARCD3)	Homo sapiens	
SRCAP_HUMAN	Snf2 related CREBBP activator protein(SRCAP)	Homo sapiens	
SP8_HUMAN	Sp8 transcription factor(SP8)	Homo sapiens	
STAR9_HUMAN	StAR related lipid transfer domain containing 9(STARD9)	Homo sapiens	
TMF1_HUMAN	TATA element modulatory factor 1(TMF1)	Homo sapiens	
TBD2B_HUMAN	TBC1 domain family member 2B(TBC1D2B)	Homo sapiens	
TE2IP_HUMAN	TERF2 interacting protein(TERF2IP)	Homo sapiens	
THAP5_HUMAN	THAP domain containing 5(THAP5)	Homo sapiens	
THAP9_HUMAN	THAP domain containing 9(THAP9)	Homo sapiens	
TIA1_HUMAN	TIA1 cytotoxic granule associated RNA binding protein(TIA1)	Homo sapiens	
TIMP2_HUMAN	TIMP metallopeptidase inhibitor 2(TIMP2)	Homo sapiens	
TRAP1_HUMAN	TNF receptor associated protein 1(TRAP1)	Homo sapiens	
TNIP3_HUMAN	TNFAIP3 interacting protein 3(TNIP3)	Homo sapiens	
TSYL2_HUMAN	TSPY like 2(TSPYL2)	Homo sapiens	
TATD1_HUMAN	TatD DNase domain containing 1(TATDN1)	Homo sapiens	
EFTU_HUMAN	Tu translation elongation factor, mitochondrial(TUFM)	Homo sapiens	
B3GN8_HUMAN	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8(B3GNT8)	Homo sapiens	
NPA1P_HUMAN	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)(URB1)	Homo sapiens	
URB2_HUMAN	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)(URB2)	Homo sapiens	
RMP_HUMAN	URI1, prefoldin like chaperone(URI1)	Homo sapiens	
VSIG4_HUMAN	V-set and immunoglobulin domain containing 4(VSIG4)	Homo sapiens	
VPS11_HUMAN	VPS11, CORVET/HOPS core subunit(VPS11)	Homo sapiens	
